date,coin,news_count,pos,neu,neg,mean_sentiment
2017-12-08,ETH,3,0,3,0,0
2017-12-09,BTC,10,0,10,0,0
2017-12-09,ETH,1,0,1,0,0
2017-12-10,BTC,4,0,4,0,0
2017-12-10,ETH,2,0,2,0,0
2017-12-11,BTC,11,0,11,0,0
2017-12-11,ETH,3,0,3,0,0
2017-12-12,BTC,15,0,15,0,0
2017-12-12,ETH,1,0,1,0,0
2017-12-13,BTC,15,0,15,0,0
2017-12-13,ETH,4,0,4,0,0
2017-12-13,LTC,3,0,3,0,0
2017-12-14,BTC,14,0,14,0,0
2017-12-14,ETH,2,0,2,0,0
2017-12-15,BTC,10,0,10,0,0
2017-12-15,ETH,4,0,4,0,0
2017-12-16,BTC,8,0,8,0,0
2017-12-16,ETH,2,0,2,0,0
2017-12-17,BTC,5,0,5,0,0
2017-12-17,ETH,1,0,1,0,0
2017-12-18,BTC,7,0,7,0,0
2017-12-18,ETH,1,0,1,0,0
2017-12-18,LTC,1,0,1,0,0
2017-12-19,BTC,19,0,19,0,0
2017-12-19,ETH,2,0,2,0,0
2017-12-20,BTC,13,0,13,0,0
2017-12-20,ETH,2,0,2,0,0
2017-12-20,LTC,1,0,1,0,0
2017-12-21,BTC,9,0,9,0,0
2017-12-21,ETH,1,0,1,0,0
2017-12-22,BTC,16,0,16,0,0
2017-12-22,LTC,2,0,2,0,0
2017-12-23,BTC,4,0,4,0,0
2017-12-24,BTC,3,0,3,0,0
2017-12-24,ETH,1,0,1,0,0
2017-12-25,BTC,1,0,1,0,0
2017-12-26,BTC,2,0,2,0,0
2017-12-26,ETH,1,0,1,0,0
2017-12-27,BTC,8,0,8,0,0
2017-12-27,ETH,1,0,1,0,0
2017-12-27,LTC,1,0,1,0,0
2017-12-28,BTC,11,0,11,0,0
2017-12-28,ETH,1,0,1,0,0
2017-12-28,LTC,1,0,1,0,0
2017-12-29,BTC,14,0,14,0,0
2017-12-29,ETH,3,0,3,0,0
2017-12-29,LTC,1,0,1,0,0
2017-12-30,BTC,5,0,5,0,0
2017-12-30,ETH,1,0,1,0,0
2017-12-31,BTC,10,0,10,0,0
2017-12-31,ETH,3,0,3,0,0
2017-12-31,LTC,1,0,1,0,0
2018-01-01,BTC,4,0,4,0,0
